koi_fpflag_co,koi_time0,koi_impact,koi_duration,koi_depth,koi_srho,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_ldm_coeff2,koi_model_snr,koi_count,koi_tce_plnt_num,koi_smet,ra,dec,koi_fwm_sdec,koi_fwm_srao,koi_fittype_ls,koi_fittype_lsmcmc,koi_fittype_mcmc,koi_disposition
0.0,2455007.283,0.994,1.8248,4511.7,2.95602,13.66,0.132,88.43,804.0,98.77,36.322,0.3058,322.3,1.0,1.0,-0.26,287.61633,39.127239,39.1272201,-0.017,0.0,1.0,0.0,1
1.0,2454966.744,1.226,2.1441,747.5,0.164,23.61,0.0119,23.56,2073.0,4391.51,1.337,0.2521,116.1,1.0,1.0,-0.3,295.09866,41.007038,41.00067,-21.9,0.0,1.0,0.0,1
1.0,2454967.212,1.258,4.0541,598.2,0.03107,27.85,0.0224,26.7,1610.0,1595.19,1.408,0.2711,140.6,1.0,1.0,-0.24,298.13589,41.332062,41.333147,-47.9,0.0,1.0,0.0,1
0.0,2454966.431,0.7078929411764706,6.7,103997.77058823529,0.2082369411764706,48.97611764705883,0.027916470588235293,64.8664705882353,2188.1294117647058,10392.055176470589,2.781261564705882,0.29300941176470596,880.9494117647058,1.0,1.035294117647059,-0.22776470588235298,293.28799,41.560455,41.70967951682352,-0.4147689411764704,0.0,0.0,0.0,1
1.0,2454967.501,1.228,9.083,113.8,0.00596,23.35,0.036,15.02,1312.0,701.68,1.272,0.2965,24.3,1.0,1.0,-0.26,298.77325,41.214729,43.697244835294114,20.91,0.0,1.0,0.0,1
0.0,2455004.523,2.641,2.0911,433.2,0.13115,403.59,0.0492,47.65,2404.0,7903.84,3.92,0.3087,62.3,1.0,1.0,-0.14,292.61194,43.305141,43.305207,-1.363,0.0,1.0,0.0,1
1.0,2454966.265,0.216,0.8774,321.5,10.9848,1.25,0.0167,88.4,1372.0,838.42,7.72,0.1017,19.6,1.0,1.0,0.21,291.17068,38.008591,38.00649,-10.01,0.0,1.0,0.0,1
1.0,2454966.309,0.708,2.924,248.0,0.75629,7.47,0.0745,86.31,1964.0,3518.78,10.99,0.2841,22.2,1.0,1.0,-0.48,294.52557,38.204632,38.20603,9.8,0.0,1.0,0.0,1
1.0,2454966.689,1.169,4.32,250.2,0.06136,17.12,0.0155,13.27,1922.0,3248.17,1.201,0.2965,37.5,1.0,1.0,-0.3,289.7962,38.351181,38.34918,-4.0,0.0,1.0,0.0,1
1.0,2454967.318,0.736,4.256,186.2,0.06501,3.22,0.0201,59.29,2863.0,15822.49,1.442,0.3023,136.3,1.0,1.0,-0.24,292.77588,47.461689,47.46217,-0.5,0.0,1.0,0.0,1
1.0,2454966.6,0.715,3.442,118.6,0.16877,1.19,0.0312,77.61,1572.0,1448.05,3.33,0.3029,27.0,1.0,1.0,-0.4,295.79526,47.66396,47.66576,1.57,0.0,1.0,0.0,1
0.0,2455011.689,0.337,1.82542,30222.0,3.77736,8.78,0.025,87.9,753.0,76.1,9.2,0.4064,1252.5,1.0,1.0,-0.06,292.0683,38.84227,38.8422875,-0.4987,0.0,1.0,0.0,0
1.0,2454966.387,0.766,5.9957,4399.1,0.07842,7.48,0.0531,80.11,1170.0,442.78,4.455,0.2965,270.1,1.0,1.0,-0.3,297.31006,49.703041,49.7042877,5.701,0.0,1.0,0.0,1
0.0,2455093.837,0.893,3.5599,68.9,0.06279,1.69,0.0408,72.39,1784.0,2388.98,2.95,0.303,53.6,1.0,1.0,-0.1,287.36182,38.714016,38.713073,-4.6,0.0,1.0,0.0,0
0.0,2455017.971,1.197,6.7507,26900.0,0.63883,78.54,0.3227,88.49,737.0,69.62,45.4,0.3439,184.3,1.0,1.0,0.21,290.94437,38.538868,38.5389146,-0.0214,0.0,1.0,0.0,1
1.0,2454966.181,1.213,3.158,570.6,0.0241,14.71,0.0372,60.41,684.0,51.85,2.46,0.2238,35.6,1.0,1.0,-0.1,298.9917,41.074989,41.074423,-4.81,0.0,1.0,0.0,1
0.0,2454966.344,0.412,1.4647,340.9,2.78725,1.41,0.0214,86.18,1331.0,740.47,6.19,0.153,73.5,2.0,1.0,0.02,296.86099,41.09734,41.097554,-0.21,0.0,1.0,0.0,0
0.0,2454966.797,0.698,1.465,277.1,3.11386,1.36,0.0367,86.37,1016.0,251.77,11.02,0.153,39.7,2.0,2.0,0.02,296.86099,41.09734,41.097403,-0.5,0.0,1.0,0.0,0
0.0,2454964.833,0.136,2.3155,154.9,1.03038,5.88,0.0309,88.41,2740.0,13331.51,4.913,0.1544,27.2,3.0,3.0,0.4,286.49042,38.374908,38.37489,-0.89,0.0,1.0,0.0,0
0.0,2454967.778,0.9409458823529412,7.46,62973.98117647058,2.731283411764706,60.68576470588236,0.06481176470588235,80.07270588235293,1194.4352941176471,1519.2417647058821,8.914091964705884,0.25877058823529414,535.5788235294118,1.0,1.1529411764705881,-0.14352941176470588,291.6069,38.348061,39.290482150352936,-0.9616176470588235,0.0,0.0,0.0,1
0.0,2454968.082,0.314,4.49,270.7,0.73476,1.59,0.0843,88.75,890.0,148.62,14.36,0.2868,24.8,2.0,1.0,-0.04,287.44409,38.088428,38.08844,-1.92,0.0,1.0,0.0,0
1.0,2454969.497,0.69,3.733,399.6,0.70563,1.81,0.0909,87.49,770.0,83.13,15.78,0.2676,20.1,1.0,1.0,-0.1,292.27905,38.284531,38.28619,4.15,0.0,1.0,0.0,1
0.0,2455013.682,1.145,2.5903,17971.0,0.5463,25.89,0.0399,80.32,1027.0,263.55,6.81,0.2665,39.6,1.0,1.0,-0.58,292.07849,38.631481,38.6314832,-0.214,0.0,1.0,0.0,1
0.0,2454967.366,0.785,9.0419,15304.0,0.03205,16.91,0.06,76.62,1347.0,778.45,3.3925,0.3169,298.0,1.0,1.0,-0.1,296.13391,38.999008,38.9989249,-0.1154,0.0,1.0,0.0,1
